First_Name,Last_Name,Course,PassYear,Campus,StudentID
Dawn,Kennedy,Political Science,2021,Vishakhapatnam,A2021152119048
Monica,Santos,Political Science,2030,Vishakhapatnam,A2030152119049
Kevin,Morrison,Political Science,2022,Vishakhapatnam,A2022152119050
Connie,Jones,Political Science,2026,Vishakhapatnam,A2026152119051
Priscilla,Hooper,Political Science,2026,Vishakhapatnam,A2026152119052
Peter,Davis,Political Science,2025,Vishakhapatnam,A2025152119053
Kimberly,Frederick,Political Science,2024,Vishakhapatnam,A2024152119054
Michael,Bowman,Philosophy,2027,Vishakhapatnam,A2027300119055
Kristen,Donaldson,Philosophy,2019,Vishakhapatnam,A2019300119056
Calvin,Willis,Philosophy,2022,Vishakhapatnam,A2022300119057
Virginia,Stevenson,Philosophy,2022,Vishakhapatnam,A2022300119058
Carlos,Clark,Philosophy,2021,Vishakhapatnam,A2021300119059
Tammy,Rose,Philosophy,2027,Vishakhapatnam,A2027300119060
Taylor,Simpson,Music,2019,Vishakhapatnam,A2019786119061
Gregory,Holloway,Music,2021,Vishakhapatnam,A2021786119062
Tracy,Brock,Music,2026,Vishakhapatnam,A2026786119063
Margaret,Potter,Music,2021,Vishakhapatnam,A2021786119064
Karen,Miller,Music,2022,Vishakhapatnam,A2022786119065
Larry,White,Mathematics,2021,Vishakhapatnam,A2021215119066
Felicia,Nelson,Mathematics,2024,Vishakhapatnam,A2024215119067
Samantha,Harper,Mathematics,2022,Vishakhapatnam,A2022215119068
Carolyn,Johnson,Literature,2024,Vishakhapatnam,A2024124119069
Lindsay,Alexander,Literature,2026,Vishakhapatnam,A2026124119070
John,Mack,Literature,2024,Vishakhapatnam,A2024124119071
Kimberly,Bender,Literature,2030,Vishakhapatnam,A2030124119072
Patricia,Kirby,Languages,2030,Vishakhapatnam,A2030785119073
Craig,Garza,Languages,2025,Vishakhapatnam,A2025785119074
David,Lee,Languages,2026,Vishakhapatnam,A2026785119075
Kenneth,Smith,Journalism,2021,Vishakhapatnam,A2021231119076
Rhonda,Carrillo,Journalism,2027,Vishakhapatnam,A2027231119077
Christopher,Nelson,Journalism,2019,Vishakhapatnam,A2019231119078
Tracy,Clark,Journalism,2024,Vishakhapatnam,A2024231119079
Nancy,Brooks,Journalism,2022,Vishakhapatnam,A2022231119080
Kathryn,Dominguez,Journalism,2024,Vishakhapatnam,A2024231119081
Wanda,Jimenez,Journalism,2026,Vishakhapatnam,A2026231119082
Paul,Powell,Journalism,2028,Vishakhapatnam,A2028231119083
Ellen,Sullivan,Journalism,2019,Vishakhapatnam,A2019231119084
Jennifer,Bryant,History,2026,Vishakhapatnam,A2026636119085
James,Marquez,History,2023,Vishakhapatnam,A2023636119086
Corey,Lynch,History,2025,Vishakhapatnam,A2025636119087
Kimberly,Reynolds,History,2021,Vishakhapatnam,A2021636119088
Tanya,Morgan,History,2026,Vishakhapatnam,A2026636119089
Michael,Scott,Fine Arts,2022,Vishakhapatnam,A2022147119090
Drew,Ryan,Fine Arts,2026,Vishakhapatnam,A2026147119091
Matthew,Fuller,Fine Arts,2030,Vishakhapatnam,A2030147119092
Bianca,Bond,Fine Arts,2020,Vishakhapatnam,A2020147119093
Morgan,Nelson,Fine Arts,2022,Vishakhapatnam,A2022147119094
Jeffrey,Riley,Fine Arts,2021,Vishakhapatnam,A2021147119095
Amber,Rodriguez,Fine Arts,2020,Vishakhapatnam,A2020147119096
Mark,Dennis,Fine Arts,2025,Vishakhapatnam,A2025147119097
Vincent,Ward,Economics,2022,Vishakhapatnam,A2022102119098
Jennifer,Thomas,Economics,2023,Vishakhapatnam,A2023102119099
Alexander,Farley,Economics,2028,Vishakhapatnam,A2028102119100
Mindy,Gordon,Economics,2021,Vishakhapatnam,A2021102119101
Sheila,Logan,Cinema Sciences,2020,Vishakhapatnam,A2020412119102
Lisa,Kane,Cinema Sciences,2026,Vishakhapatnam,A2026412119103
Elizabeth,Fowler,Cinema Sciences,2020,Vishakhapatnam,A2020412119104
Jose,Barnes,Cinema Sciences,2020,Vishakhapatnam,A2020412119105
Eric,Davis,Cinema Sciences,2025,Vishakhapatnam,A2025412119106
Andrew,Vincent,Cinema Sciences,2030,Vishakhapatnam,A2030412119107
Anthony,Simmons,Archaeology,2025,Vishakhapatnam,A2025214119108
Janet,Williams,Archaeology,2019,Vishakhapatnam,A2019214119109
Wendy,Wilson,Archaeology,2019,Vishakhapatnam,A2019214119110
Lauren,Simmons,Archaeology,2023,Vishakhapatnam,A2023214119111
Luis,Moore,Archaeology,2019,Vishakhapatnam,A2019214119112
James,Cardenas,Archaeology,2021,Vishakhapatnam,A2021214119113
Tracy,Lee,Archaeology,2021,Vishakhapatnam,A2021214119114
Samuel,Barnes,Archaeology,2023,Vishakhapatnam,A2023214119115
Karen,Gomez,Archaeology,2019,Vishakhapatnam,A2019214119116
Harold,Lewis,Advertising,2026,Vishakhapatnam,A2026200119117
Patricia,Nash,Advertising,2021,Vishakhapatnam,A2021200119118
Marie,Glass,Advertising,2019,Vishakhapatnam,A2019200119119
Daniel,Howard,Advertising,2023,Vishakhapatnam,A2023200119120
Thomas,Richmond,Advertising,2025,Vishakhapatnam,A2025200119121
James,Johnson,Zoology,2021,Vadodara,A2021333126122
Stephanie,Morgan,Zoology,2027,Vadodara,A2027333126123
Robert,Hartman,Zoology,2029,Vadodara,A2029333126124
Kelly,Moore,Veterinary Medicine,2024,Vadodara,A2024961126125
Brian,Thompson,Veterinary Medicine,2029,Vadodara,A2029961126126
Katie,Scott,Veterinary Medicine,2019,Vadodara,A2019961126127
Timothy,Beltran,Veterinary Medicine,2019,Vadodara,A2019961126128
Stephanie,Nichols,Veterinary Medicine,2022,Vadodara,A2022961126129
Jasmine,Dixon,Urban Planning,2021,Vadodara,A2021159126130
Allison,Dean,Urban Planning,2025,Vadodara,A2025159126131
Stephanie,Cruz,Urban Planning,2023,Vadodara,A2023159126132
Amber,Thomas,Urban Planning,2028,Vadodara,A2028159126133
Patricia,Morris,Urban Planning,2022,Vadodara,A2022159126134
Jenna,Valdez,Urban Planning,2027,Vadodara,A2027159126135
Chad,Decker,Urban Planning,2023,Vadodara,A2023159126136
Bradley,Allen,Urban Planning,2025,Vadodara,A2025159126137
Nicholas,Williams,Urban Planning,2024,Vadodara,A2024159126138
Elizabeth,Patterson,Theology,2027,Vadodara,A2027465126139
Lisa,Curry,Theology,2019,Vadodara,A2019465126140
Lori,Acevedo,Theology,2027,Vadodara,A2027465126141
Rebecca,Fuller,Theatre,2026,Vadodara,A2026798126142
Justin,Ward,Theatre,2030,Vadodara,A2030798126143
Emily,Moses,Theatre,2021,Vadodara,A2021798126144
Laura,White,Sociology,2019,Vadodara,A2019555126145
Aaron,Schneider,Sociology,2020,Vadodara,A2020555126146
Debra,Sharp,Sociology,2030,Vadodara,A2030555126147
Brandy,Kent,Sociology,2030,Vadodara,A2030555126148
Stephen,Bowers,Sociology,2025,Vadodara,A2025555126149
Alexander,Raymond,Sociology,2027,Vadodara,A2027555126150
Michael,Jones,Sociology,2029,Vadodara,A2029555126151
Heather,Riley,Sociology,2028,Vadodara,A2028555126152
Tina,Avery,Public Administration,2024,Vadodara,A2024696126153
Shannon,Sullivan,Public Administration,2025,Vadodara,A2025696126154
Jill,Vance,Public Administration,2020,Vadodara,A2020696126155
Norman,Rodriguez,Public Administration,2020,Vadodara,A2020696126156
Andrew,Christensen,Psychology,2022,Vadodara,A2022193126157
Casey,Foster,Psychology,2028,Vadodara,A2028193126158
Amanda,Travis,Psychology,2019,Vadodara,A2019193126159
Dawn,Anderson,Psychology,2028,Vadodara,A2028193126160
Pamela,Smith,Political Science,2025,Vadodara,A2025152126161
Theresa,Taylor,Political Science,2022,Vadodara,A2022152126162
Melanie,Meyer,Political Science,2022,Vadodara,A2022152126163
Justin,King,Political Science,2020,Vadodara,A2020152126164
Anthony,Bentley,Political Science,2019,Vadodara,A2019152126165
Joseph,Kaufman,Political Science,2029,Vadodara,A2029152126166
Stacy,Lee,Political Science,2030,Vadodara,A2030152126167
Patricia,Cruz,Political Science,2019,Vadodara,A2019152126168
Samuel,Wells,Political Science,2028,Vadodara,A2028152126169
Tracy,Harris,Philosophy,2025,Vadodara,A2025300126170
Nicholas,Cole,Philosophy,2029,Vadodara,A2029300126171
Anita,Cooper,Philosophy,2026,Vadodara,A2026300126172
Katrina,Neal,Philosophy,2020,Vadodara,A2020300126173
Philip,Morris,Philosophy,2024,Vadodara,A2024300126174
Kelly,Herrera,Philosophy,2026,Vadodara,A2026300126175
Tonya,Benson,Philosophy,2020,Vadodara,A2020300126176
Sandra,Spencer,Philosophy,2022,Vadodara,A2022300126177
Sarah,Williams,Philosophy,2026,Vadodara,A2026300126178
Diana,Reed,Philosophy,2024,Vadodara,A2024300126179
Emily,Craig,Music,2021,Vadodara,A2021786126180
Melissa,Bishop,Mathematics,2027,Vadodara,A2027215126181
James,Evans,Mathematics,2019,Vadodara,A2019215126182
Matthew,May,Mathematics,2022,Vadodara,A2022215126183
Nicholas,Ramirez,Mathematics,2026,Vadodara,A2026215126184
James,Hooper,Mathematics,2025,Vadodara,A2025215126185
Antonio,Cannon,Mathematics,2022,Vadodara,A2022215126186
Richard,Monroe,Mathematics,2019,Vadodara,A2019215126187
John,White,Literature,2019,Vadodara,A2019124126188
Jessica,Moore,Literature,2020,Vadodara,A2020124126189
Jasmine,Lyons,Literature,2021,Vadodara,A2021124126190
Sharon,Johns,Literature,2022,Vadodara,A2022124126191
Gary,Thomas,Literature,2023,Vadodara,A2023124126192
Raymond,Allen,Languages,2024,Vadodara,A2024785126193
Jennifer,Stevens,Languages,2030,Vadodara,A2030785126194
Stacey,Spence,Journalism,2020,Vadodara,A2020231126195
Michael,Robinson,Journalism,2023,Vadodara,A2023231126196
Drew,Williams,Journalism,2020,Vadodara,A2020231126197
Jacob,Terry,Journalism,2022,Vadodara,A2022231126198
Lisa,Lewis,Journalism,2024,Vadodara,A2024231126199
Gabriel,Dixon,Journalism,2026,Vadodara,A2026231126200
Kiara,Clarke,Journalism,2030,Vadodara,A2030231126201
Jill,Wagner,Journalism,2022,Vadodara,A2022231126202
Christina,Acevedo,History,2025,Vadodara,A2025636126203
Annette,Thompson,History,2021,Vadodara,A2021636126204
Kenneth,Rivas,History,2023,Vadodara,A2023636126205
Jacqueline,Chavez,History,2023,Vadodara,A2023636126206
Daniel,Payne,History,2029,Vadodara,A2029636126207
James,White,Fine Arts,2030,Vadodara,A2030147126208
Justin,Garcia,Economics,2019,Vadodara,A2019102126209
Nicole,Shelton,Economics,2021,Vadodara,A2021102126210
Trevor,Johnson,Economics,2026,Vadodara,A2026102126211
Joanne,Ramirez,Economics,2025,Vadodara,A2025102126212
Kayla,Thomas,Economics,2030,Vadodara,A2030102126213
Robert,Hebert,Cinema Sciences,2030,Vadodara,A2030412126214
Javier,Bradshaw,Cinema Sciences,2028,Vadodara,A2028412126215
Connie,Levy,Cinema Sciences,2025,Vadodara,A2025412126216
Christina,Benson,Cinema Sciences,2024,Vadodara,A2024412126217
Christopher,Sellers,Cinema Sciences,2027,Vadodara,A2027412126218
Megan,Cisneros,Cinema Sciences,2024,Vadodara,A2024412126219
Joshua,George,Archaeology,2028,Vadodara,A2028214126220
Dave,Robinson,Archaeology,2020,Vadodara,A2020214126221
Denise,Hickman,Archaeology,2029,Vadodara,A2029214126222
Kelly,May,Advertising,2030,Vadodara,A2030200126223
Michael,Mitchell,Advertising,2019,Vadodara,A2019200126224
Jessica,Lee,Advertising,2023,Vadodara,A2023200126225
Mary,Thomas,Zoology,2024,Surat,A2024333125226
Jeremy,Jones,Zoology,2024,Surat,A2024333125227
James,Kirk,Zoology,2027,Surat,A2027333125228
Courtney,Gallegos,Zoology,2028,Surat,A2028333125229
Patricia,Brown,Zoology,2019,Surat,A2019333125230
Douglas,Powers,Veterinary Medicine,2030,Surat,A2030961125231
Virginia,Smith,Veterinary Medicine,2029,Surat,A2029961125232
Sherri,Ramos,Urban Planning,2028,Surat,A2028159125233
Sandra,Webb,Urban Planning,2020,Surat,A2020159125234
Kathryn,Clayton,Urban Planning,2029,Surat,A2029159125235
Brenda,Burke,Urban Planning,2026,Surat,A2026159125236
Anna,Fry,Theology,2029,Surat,A2029465125237
Jennifer,Cooper,Theology,2019,Surat,A2019465125238
Jose,Holloway,Theology,2020,Surat,A2020465125239
Kevin,Walsh,Theology,2022,Surat,A2022465125240
John,Rodriguez,Theology,2024,Surat,A2024465125241
Kirk,Mckenzie,Theology,2025,Surat,A2025465125242
Johnny,Hall,Theatre,2025,Surat,A2025798125243
Karen,Watson,Theatre,2029,Surat,A2029798125244
Luke,Eaton,Theatre,2019,Surat,A2019798125245
Kerry,Davis,Theatre,2026,Surat,A2026798125246
Scott,Parker,Sociology,2026,Surat,A2026555125247
Scott,Ryan,Sociology,2029,Surat,A2029555125248
Evan,Stewart,Sociology,2025,Surat,A2025555125249
Stephanie,Evans,Sociology,2025,Surat,A2025555125250
Mary,Anderson,Sociology,2024,Surat,A2024555125251
Stefanie,Lopez,Sociology,2023,Surat,A2023555125252
Paul,Delgado,Public Administration,2025,Surat,A2025696125253
Devin,Osborne,Public Administration,2025,Surat,A2025696125254
Robert,Valentine,Public Administration,2023,Surat,A2023696125255
Jeremy,Sherman,Public Administration,2030,Surat,A2030696125256
Carol,Young,Public Administration,2020,Surat,A2020696125257
Erin,Wright,Psychology,2021,Surat,A2021193125258
Janet,Sandoval,Psychology,2023,Surat,A2023193125259
Victor,Gray,Psychology,2030,Surat,A2030193125260
Michael,Brown,Psychology,2026,Surat,A2026193125261
Melvin,Taylor,Psychology,2024,Surat,A2024193125262
Trevor,Chavez,Psychology,2021,Surat,A2021193125263
Christopher,Cross,Political Science,2024,Surat,A2024152125264
Rebecca,Johnson,Political Science,2027,Surat,A2027152125265
Michael,Bean,Philosophy,2025,Surat,A2025300125266
Jeffery,English,Philosophy,2029,Surat,A2029300125267
Tyler,Martinez,Philosophy,2027,Surat,A2027300125268
Pamela,Roman,Philosophy,2028,Surat,A2028300125269
Alvin,Webster,Philosophy,2029,Surat,A2029300125270
Jeanne,Robinson,Philosophy,2023,Surat,A2023300125271
William,Williams,Music,2028,Surat,A2028786125272
Robert,Hull,Music,2022,Surat,A2022786125273
Deborah,Trevino,Music,2020,Surat,A2020786125274
Heather,Liu,Music,2027,Surat,A2027786125275
Kevin,Melton,Music,2030,Surat,A2030786125276
Andrea,Garcia,Mathematics,2023,Surat,A2023215125277
Kelly,Horton,Mathematics,2020,Surat,A2020215125278
William,Jones,Mathematics,2026,Surat,A2026215125279
Madeline,Nelson,Mathematics,2026,Surat,A2026215125280
Bailey,Henderson,Literature,2019,Surat,A2019124125281
Erik,Schmitt,Literature,2023,Surat,A2023124125282
Tammy,Ruiz,Literature,2023,Surat,A2023124125283
Amy,Jackson,Literature,2030,Surat,A2030124125284
Samantha,Padilla,Literature,2023,Surat,A2023124125285
Stephanie,Richardson,Literature,2024,Surat,A2024124125286
Amanda,Huang,Literature,2023,Surat,A2023124125287
Jacob,Miller,Literature,2027,Surat,A2027124125288
Patricia,Gill,Languages,2020,Surat,A2020785125289
Peter,Kelley,Languages,2020,Surat,A2020785125290
Kathleen,Soto,Languages,2020,Surat,A2020785125291
Carol,Lindsey,Languages,2023,Surat,A2023785125292
Peter,Hill,Languages,2028,Surat,A2028785125293
Jackie,Rogers,Journalism,2030,Surat,A2030231125294
Matthew,Meyers,Journalism,2023,Surat,A2023231125295
Lucas,Pace,Journalism,2021,Surat,A2021231125296
Erin,Carr,History,2021,Surat,A2021636125297
Stacey,James,History,2030,Surat,A2030636125298
Stacy,Tapia,History,2024,Surat,A2024636125299
Kaitlin,Bullock,History,2021,Surat,A2021636125300
Donald,Brown,History,2028,Surat,A2028636125301
Amanda,Chambers,Fine Arts,2030,Surat,A2030147125302
Lisa,Owens,Fine Arts,2028,Surat,A2028147125303
Taylor,Page,Fine Arts,2026,Surat,A2026147125304
Tammy,Benton,Fine Arts,2028,Surat,A2028147125305
David,Morales,Fine Arts,2030,Surat,A2030147125306
Katrina,Gould,Fine Arts,2028,Surat,A2028147125307
Tyler,Butler,Fine Arts,2020,Surat,A2020147125308
Dennis,Montoya,Fine Arts,2029,Surat,A2029147125309
Daniel,Sheppard,Economics,2029,Surat,A2029102125310
Joyce,Carroll,Economics,2020,Surat,A2020102125311
Eric,Wright,Cinema Sciences,2022,Surat,A2022412125312
Brandon,Morgan,Cinema Sciences,2019,Surat,A2019412125313
Patrick,Ortiz,Cinema Sciences,2026,Surat,A2026412125314
Daniel,Harris,Cinema Sciences,2027,Surat,A2027412125315
Jesse,Tucker,Cinema Sciences,2021,Surat,A2021412125316
Danny,Murphy,Cinema Sciences,2028,Surat,A2028412125317
Tina,Griffin,Archaeology,2028,Surat,A2028214125318
Natalie,Brown,Archaeology,2026,Surat,A2026214125319
Stephanie,Mckinney,Advertising,2024,Surat,A2024200125320
Cheryl,Watson,Advertising,2030,Surat,A2030200125321
Anita,Taylor,Advertising,2029,Surat,A2029200125322
Manuel,Jensen,Advertising,2028,Surat,A2028200125323
Robert,Franklin,Advertising,2030,Surat,A2030200125324
Danielle,Cook,Zoology,2020,Shimla,A2020333122325
Patrick,May,Zoology,2021,Shimla,A2021333122326
Seth,Hernandez,Zoology,2030,Shimla,A2030333122327
Renee,Clark,Zoology,2027,Shimla,A2027333122328
Robin,Thompson,Veterinary Medicine,2022,Shimla,A2022961122329
Matthew,Bean,Veterinary Medicine,2026,Shimla,A2026961122330
John,Miller,Veterinary Medicine,2030,Shimla,A2030961122331
Taylor,Gonzalez,Veterinary Medicine,2028,Shimla,A2028961122332
Scott,Brown,Veterinary Medicine,2021,Shimla,A2021961122333
Marissa,Jones,Veterinary Medicine,2019,Shimla,A2019961122334
Kelly,Brown,Veterinary Medicine,2030,Shimla,A2030961122335
Matthew,Jackson,Veterinary Medicine,2022,Shimla,A2022961122336
Denise,Williams,Urban Planning,2030,Shimla,A2030159122337
Nathan,Thompson,Urban Planning,2020,Shimla,A2020159122338
Jessica,Berry,Urban Planning,2022,Shimla,A2022159122339
Amy,Mays,Urban Planning,2022,Shimla,A2022159122340
Kimberly,Davis,Urban Planning,2028,Shimla,A2028159122341
Jessica,Carter,Urban Planning,2030,Shimla,A2030159122342
Gloria,Campos,Theology,2020,Shimla,A2020465122343
Edward,Rose,Theology,2024,Shimla,A2024465122344
Christopher,Lewis,Theology,2030,Shimla,A2030465122345
Katrina,Santiago,Theology,2026,Shimla,A2026465122346
Laura,Alexander,Theatre,2022,Shimla,A2022798122347
Ian,Walker,Theatre,2022,Shimla,A2022798122348
Charles,Kramer,Theatre,2024,Shimla,A2024798122349
Andrew,Reynolds,Theatre,2019,Shimla,A2019798122350
Jason,Miller,Theatre,2024,Shimla,A2024798122351
Christopher,Brown,Theatre,2027,Shimla,A2027798122352
Kim,Tanner,Theatre,2025,Shimla,A2025798122353
Jonathan,Smith,Theatre,2030,Shimla,A2030798122354
Brooke,Snyder,Sociology,2028,Shimla,A2028555122355
Kevin,Mcdonald,Sociology,2022,Shimla,A2022555122356
Erin,Webb,Sociology,2029,Shimla,A2029555122357
Amanda,Donovan,Sociology,2030,Shimla,A2030555122358
Brent,Chambers,Public Administration,2025,Shimla,A2025696122359
Robert,Howe,Public Administration,2026,Shimla,A2026696122360
Gregory,Valenzuela,Public Administration,2024,Shimla,A2024696122361
Amanda,Nelson,Public Administration,2027,Shimla,A2027696122362
Chad,Lin,Psychology,2019,Shimla,A2019193122363
Ronald,Wilson,Psychology,2019,Shimla,A2019193122364
Jason,Avery,Psychology,2028,Shimla,A2028193122365
Vincent,Herrera,Psychology,2027,Shimla,A2027193122366
Jeremy,Garcia,Psychology,2025,Shimla,A2025193122367
Brad,Ochoa,Psychology,2027,Shimla,A2027193122368
Victoria,Madden,Psychology,2028,Shimla,A2028193122369
Warren,Cooke,Political Science,2026,Shimla,A2026152122370
Abigail,Singh,Political Science,2023,Shimla,A2023152122371
Susan,Escobar,Political Science,2029,Shimla,A2029152122372
Stephanie,Coleman,Political Science,2027,Shimla,A2027152122373
Emily,Carroll,Philosophy,2026,Shimla,A2026300122374
Diane,Smith,Philosophy,2026,Shimla,A2026300122375
Dalton,Stuart,Philosophy,2019,Shimla,A2019300122376
Michael,Brown,Philosophy,2029,Shimla,A2029300122377
Anthony,Bates,Philosophy,2028,Shimla,A2028300122378
Susan,Wright,Music,2029,Shimla,A2029786122379
Michael,Brennan,Music,2021,Shimla,A2021786122380
Mark,Sheppard,Music,2023,Shimla,A2023786122381
Robert,Martinez,Music,2022,Shimla,A2022786122382
Kyle,Walker,Music,2024,Shimla,A2024786122383
Mark,Banks,Music,2025,Shimla,A2025786122384
Nancy,Holmes,Music,2019,Shimla,A2019786122385
Cheryl,Schultz,Music,2024,Shimla,A2024786122386
Amanda,Richards,Music,2027,Shimla,A2027786122387
James,Wright,Mathematics,2025,Shimla,A2025215122388
Jesse,Garcia,Mathematics,2023,Shimla,A2023215122389
Diamond,Blackwell,Mathematics,2020,Shimla,A2020215122390
Matthew,Chen,Literature,2024,Shimla,A2024124122391
Haley,Wilson,Literature,2027,Shimla,A2027124122392
Brandon,Morgan,Literature,2019,Shimla,A2019124122393
Gloria,Chambers,Literature,2022,Shimla,A2022124122394
Larry,Moses,Literature,2024,Shimla,A2024124122395
Brenda,West,Literature,2030,Shimla,A2030124122396
Deborah,Walker,Literature,2022,Shimla,A2022124122397
Andrew,Hampton,Languages,2030,Shimla,A2030785122398
Randy,Murray,Languages,2026,Shimla,A2026785122399
Billy,Chapman,Languages,2025,Shimla,A2025785122400
Steven,Porter,Languages,2028,Shimla,A2028785122401
Samuel,Williams,Languages,2026,Shimla,A2026785122402
Jeremiah,Hardy,Languages,2027,Shimla,A2027785122403
Rachel,Farley,Journalism,2024,Shimla,A2024231122404
Duane,Jordan,Journalism,2026,Shimla,A2026231122405
Cheryl,Ford,Journalism,2024,Shimla,A2024231122406
Kimberly,Thompson,Journalism,2020,Shimla,A2020231122407
Richard,Lopez,Journalism,2027,Shimla,A2027231122408
Dean,Medina,Journalism,2025,Shimla,A2025231122409
Lawrence,Williams,History,2023,Shimla,A2023636122410
Monique,Miller,History,2023,Shimla,A2023636122411
Allison,Lee,Fine Arts,2022,Shimla,A2022147122412
Sarah,Osborne,Fine Arts,2026,Shimla,A2026147122413
Stephanie,Snyder,Economics,2022,Shimla,A2022102122414
Veronica,Sanford,Economics,2024,Shimla,A2024102122415
Michael,Smith,Economics,2019,Shimla,A2019102122416
Bryan,Brown,Economics,2030,Shimla,A2030102122417
Melissa,Montgomery,Cinema Sciences,2023,Shimla,A2023412122418
David,Lopez,Cinema Sciences,2019,Shimla,A2019412122419
Chris,Smith,Cinema Sciences,2019,Shimla,A2019412122420
Tyler,Dominguez,Cinema Sciences,2023,Shimla,A2023412122421
Connor,Harris,Cinema Sciences,2023,Shimla,A2023412122422
Caleb,Lopez,Cinema Sciences,2021,Shimla,A2021412122423
Thomas,Randolph,Cinema Sciences,2025,Shimla,A2025412122424
Christopher,Brennan,Cinema Sciences,2030,Shimla,A2030412122425
Kenneth,Nash,Archaeology,2020,Shimla,A2020214122426
Mark,Johnson,Archaeology,2022,Shimla,A2022214122427
Christopher,Smith,Archaeology,2020,Shimla,A2020214122428
Jason,Williams,Archaeology,2025,Shimla,A2025214122429
Clarence,Moore,Archaeology,2030,Shimla,A2030214122430
Lawrence,Allen,Archaeology,2026,Shimla,A2026214122431
Juan,Hatfield,Archaeology,2029,Shimla,A2029214122432
Paul,Turner,Archaeology,2021,Shimla,A2021214122433
Claudia,Marks,Advertising,2028,Shimla,A2028200122434
Carolyn,Glass,Advertising,2027,Shimla,A2027200122435
Richard,Bell,Advertising,2027,Shimla,A2027200122436
Michael,Nunez,Advertising,2022,Shimla,A2022200122437
Emily,Gonzales,Zoology,2029,Ranchi,A2029333117438
Anne,Franklin,Zoology,2027,Ranchi,A2027333117439
Michael,Jackson,Zoology,2019,Ranchi,A2019333117440
Kayla,Carroll,Zoology,2022,Ranchi,A2022333117441
Rebekah,Tran,Zoology,2023,Ranchi,A2023333117442
Jacob,Cox,Veterinary Medicine,2019,Ranchi,A2019961117443
Anthony,Ramirez,Veterinary Medicine,2030,Ranchi,A2030961117444
Melissa,Martinez,Veterinary Medicine,2024,Ranchi,A2024961117445
Sarah,Johnson,Veterinary Medicine,2028,Ranchi,A2028961117446
Elizabeth,Strickland,Urban Planning,2029,Ranchi,A2029159117447
Steve,Rivera,Urban Planning,2019,Ranchi,A2019159117448
